epoch,auc_pr,auc_roc,loss,lr,val_auc_pr,val_auc_roc,val_loss
0,0.13759668171405792,0.8052502274513245,1.0165380239486694,0.001,0.09503601491451263,0.7591507434844971,1.1465842723846436
1,0.17128604650497437,0.869811475276947,0.7989453077316284,0.001,0.06819988042116165,0.641468346118927,2.236093521118164
2,0.1698581874370575,0.8739787936210632,0.7839236855506897,0.001,0.07519957423210144,0.6679031848907471,3.0393450260162354
3,0.184136763215065,0.8848720192909241,0.7383583188056946,0.001,0.09898936748504639,0.7600175738334656,2.7026774883270264
4,0.1987166553735733,0.8932652473449707,0.7142418622970581,0.001,0.1263868808746338,0.8102195858955383,2.1379497051239014
5,0.2119898945093155,0.8977488279342651,0.6996322870254517,0.001,0.13296742737293243,0.8169805407524109,1.5716025829315186
6,0.23315753042697906,0.9046041965484619,0.6743879914283752,0.001,0.13628509640693665,0.823944091796875,1.2733750343322754
7,0.2535504400730133,0.9136728048324585,0.6404059529304504,0.001,0.13596531748771667,0.8311408758163452,1.249280333518982
8,0.2668778896331787,0.9127162098884583,0.6504173278808594,0.001,0.13785016536712646,0.8384294509887695,1.0451017618179321
9,0.2757774591445923,0.919029176235199,0.6221436262130737,0.001,0.1411447823047638,0.8374344706535339,1.0770046710968018
10,0.2771609425544739,0.9204533696174622,0.6151716709136963,0.001,0.14455704391002655,0.8424915671348572,1.0202511548995972
11,0.2847243845462799,0.9237626791000366,0.5956494808197021,0.001,0.12776483595371246,0.8232085108757019,1.0339603424072266
12,0.28273725509643555,0.9232633709907532,0.6025656461715698,0.001,0.13063304126262665,0.8288216590881348,1.0215898752212524
13,0.30696338415145874,0.9271087050437927,0.5934386849403381,0.001,0.12112145125865936,0.819136917591095,1.0513266324996948
14,0.3178461790084839,0.929694414138794,0.5839418768882751,0.001,0.12918508052825928,0.8292921781539917,1.0225822925567627
15,0.3041877746582031,0.9286742210388184,0.5815563797950745,0.001,0.16072362661361694,0.8529792428016663,0.9683363437652588
16,0.3266398310661316,0.9336884617805481,0.5600608587265015,0.001,0.14523737132549286,0.8426166772842407,0.9846717119216919
17,0.31749722361564636,0.9337046146392822,0.5509856343269348,0.001,0.12596306204795837,0.8232672810554504,1.0359320640563965
18,0.3254515826702118,0.9340446591377258,0.5564119219779968,0.001,0.15769225358963013,0.8541266918182373,0.9459671974182129
19,0.3318953216075897,0.9364325404167175,0.5424080491065979,0.001,0.14577126502990723,0.8484659194946289,0.940603494644165
20,0.33730772137641907,0.9391747117042542,0.5296705961227417,0.001,0.1652815192937851,0.85582435131073,0.9722851514816284
21,0.34755921363830566,0.9410884976387024,0.5174327492713928,0.001,0.13935568928718567,0.8475966453552246,0.9329530000686646
22,0.34731975197792053,0.9422029256820679,0.5091915130615234,0.001,0.15018650889396667,0.8516762256622314,0.9410051107406616
23,0.34429895877838135,0.9414851069450378,0.5142656564712524,0.001,0.17582635581493378,0.8622184991836548,0.9090366959571838
24,0.3546523451805115,0.9416212439537048,0.5174546837806702,0.001,0.17447280883789062,0.8654499053955078,0.8745604157447815
25,0.34713035821914673,0.9423981308937073,0.5084373354911804,0.001,0.18218211829662323,0.8687730431556702,0.8858760595321655
26,0.36123454570770264,0.9448128938674927,0.5013054013252258,0.001,0.21276815235614777,0.8793584704399109,0.8794676065444946
27,0.3746058940887451,0.9472874402999878,0.4864208996295929,0.001,0.21905384957790375,0.877413272857666,0.8734197020530701
28,0.39311763644218445,0.9493468999862671,0.4810127913951874,0.001,0.21954280138015747,0.8789559006690979,0.8823536038398743
29,0.3878589868545532,0.9499523043632507,0.47725710272789,0.001,0.27744418382644653,0.8957865238189697,0.900445818901062
30,0.4007102847099304,0.9523063898086548,0.461306631565094,0.001,0.26540607213974,0.8904245495796204,0.8555616140365601
31,0.41105103492736816,0.9530238509178162,0.4581630229949951,0.001,0.2897210121154785,0.8969020247459412,0.8786525726318359
32,0.38910526037216187,0.9494258761405945,0.4742758870124817,0.001,0.24038708209991455,0.8862091302871704,0.8658883571624756
33,0.39333751797676086,0.9530764222145081,0.45380082726478577,0.001,0.2630745470523834,0.8876038789749146,0.8948500156402588
34,0.4002194106578827,0.95217365026474,0.4591011703014374,0.001,0.26350077986717224,0.8947128653526306,0.8613094687461853
35,0.4204116463661194,0.9551123976707458,0.44793984293937683,0.001,0.2934894561767578,0.8989067673683167,0.9385948777198792
36,0.41900181770324707,0.9552538990974426,0.4488532543182373,0.001,0.2676173448562622,0.8938913941383362,0.8480010628700256
37,0.4195331335067749,0.9565855860710144,0.43527576327323914,0.001,0.274224191904068,0.889284610748291,0.9311403632164001
38,0.4359307289123535,0.9592983722686768,0.419018030166626,0.001,0.287399560213089,0.8996425867080688,0.8946484327316284
39,0.4423714280128479,0.9600109457969666,0.4181070625782013,0.001,0.3040657043457031,0.897431492805481,0.9275371432304382
40,0.45694881677627563,0.9621139764785767,0.4039034843444824,0.001,0.3014588952064514,0.9008610844612122,0.9038772583007812
41,0.4547845721244812,0.9605904221534729,0.41390636563301086,0.001,0.2623194456100464,0.8904149532318115,0.8969131112098694
42,0.45231759548187256,0.9614419341087341,0.4078759551048279,0.001,0.3038548529148102,0.9003989100456238,0.8911795020103455
43,0.4576480984687805,0.9623503088951111,0.40205812454223633,0.001,0.2936159670352936,0.8965081572532654,0.9562285542488098
44,0.4566645324230194,0.9622090458869934,0.4056263267993927,0.001,0.28417450189590454,0.9006871581077576,0.9104865789413452
45,0.4834170639514923,0.9645031094551086,0.39014753699302673,0.001,0.3044307231903076,0.9013360738754272,0.8983131647109985
46,0.48968735337257385,0.9649001955986023,0.3883199691772461,0.001,0.29101166129112244,0.8973510265350342,1.0486574172973633
47,0.4961647391319275,0.9667274355888367,0.3747444152832031,0.001,0.29388511180877686,0.8987429738044739,1.0265388488769531
48,0.4911167621612549,0.9662297964096069,0.3764982223510742,0.001,0.28898870944976807,0.8956460952758789,1.0208643674850464
49,0.5055550336837769,0.9679125547409058,0.3694103956222534,0.001,0.29042255878448486,0.8950718641281128,1.0424803495407104
50,0.4804518222808838,0.9658414125442505,0.3775160610675812,0.001,0.28711768984794617,0.8972952365875244,1.0052368640899658
51,0.4877915382385254,0.9650203585624695,0.3903665542602539,0.001,0.2643365263938904,0.8879868984222412,1.013623833656311
52,0.5005545616149902,0.967899739742279,0.3627379238605499,0.001,0.2873959541320801,0.8943261504173279,1.0223742723464966
53,0.48782622814178467,0.9656320810317993,0.38328197598457336,0.001,0.2769969701766968,0.8968290090560913,0.9304351806640625
54,0.5035954713821411,0.9685729146003723,0.360312283039093,0.001,0.30715152621269226,0.9022449851036072,0.9287669062614441
55,0.5086766481399536,0.9679495692253113,0.36719393730163574,0.001,0.26800909638404846,0.8899208307266235,1.1624003648757935
56,0.5144192576408386,0.9684767127037048,0.3651953935623169,0.001,0.2943789064884186,0.8961998820304871,0.9928845763206482
