epoch,auc_pr,auc_roc,loss,lr,val_auc_pr,val_auc_roc,val_loss
0,0.1320326179265976,0.8031022548675537,1.0071942806243896,0.001,0.11855348944664001,0.7355292439460754,1.2216098308563232
1,0.16964274644851685,0.8654879927635193,0.820866048336029,0.001,0.0788564458489418,0.6426101922988892,2.207288980484009
2,0.16486580669879913,0.8689182996749878,0.8039843440055847,0.001,0.08605410158634186,0.699408769607544,3.232916831970215
3,0.1844620704650879,0.8796422481536865,0.7653846144676208,0.001,0.10531491041183472,0.7500275373458862,2.736180067062378
4,0.19217140972614288,0.8848572373390198,0.754313051700592,0.001,0.11600940674543381,0.7712457776069641,2.40735125541687
5,0.20250433683395386,0.8905155658721924,0.7312570214271545,0.001,0.13435381650924683,0.8003451824188232,1.8854354619979858
6,0.20548242330551147,0.8949829339981079,0.7140799760818481,0.001,0.15257878601551056,0.8280307054519653,1.3357017040252686
7,0.23192350566387177,0.9037917852401733,0.6791788339614868,0.001,0.15456148982048035,0.8302032947540283,1.196420669555664
8,0.2576071619987488,0.9093102812767029,0.6700380444526672,0.001,0.16882343590259552,0.8573266863822937,1.0351003408432007
9,0.25279363989830017,0.9083657264709473,0.6736472845077515,0.001,0.16473375260829926,0.8499355912208557,0.9355160593986511
10,0.26228880882263184,0.9148411750793457,0.6426330208778381,0.001,0.16940394043922424,0.8472747206687927,0.9969725608825684
11,0.2696131467819214,0.9178497791290283,0.6255909204483032,0.001,0.16645695269107819,0.8555137515068054,0.925310492515564
12,0.28016188740730286,0.9187629222869873,0.6241647005081177,0.001,0.15873731672763824,0.848379373550415,0.9602943658828735
13,0.287488728761673,0.9232635498046875,0.6066678166389465,0.001,0.15815909206867218,0.8484368324279785,0.9175587296485901
14,0.2980002760887146,0.9260757565498352,0.5950616598129272,0.001,0.13264955580234528,0.8382608890533447,0.9832702279090881
15,0.29610300064086914,0.9264651536941528,0.5909919142723083,0.001,0.16242076456546783,0.8609197735786438,0.9128826856613159
16,0.3095379173755646,0.9291188716888428,0.5806972980499268,0.001,0.15308430790901184,0.8502742052078247,0.9246876835823059
17,0.31742262840270996,0.9301953315734863,0.5788537263870239,0.001,0.14309372007846832,0.8496323227882385,0.9082782864570618
18,0.3201252222061157,0.9294222593307495,0.5855945944786072,0.001,0.18342985212802887,0.8677214980125427,0.8741857409477234
19,0.31388765573501587,0.9282428026199341,0.5879533290863037,0.001,0.19287782907485962,0.87617027759552,0.8348010778427124
20,0.32628878951072693,0.9355926513671875,0.5457392334938049,0.001,0.1555233895778656,0.8603896498680115,0.8803185224533081
21,0.3293066918849945,0.9358437657356262,0.552865743637085,0.001,0.18314073979854584,0.8777014017105103,0.824462354183197
22,0.3556921184062958,0.9399218559265137,0.5346919894218445,0.001,0.18649975955486298,0.8782510161399841,0.8036710023880005
23,0.3432788550853729,0.9377474188804626,0.5400941371917725,0.001,0.22325363755226135,0.888969361782074,0.7926434874534607
24,0.3676641881465912,0.9432612061500549,0.5160558223724365,0.001,0.22294287383556366,0.8899062275886536,0.787857174873352
25,0.3652840554714203,0.9428753852844238,0.5196751952171326,0.001,0.24669626355171204,0.8981250524520874,0.7685606479644775
26,0.37160468101501465,0.9442184567451477,0.5121335983276367,0.001,0.21101659536361694,0.8869495391845703,0.7865076661109924
27,0.3709253668785095,0.9451712965965271,0.5047966241836548,0.001,0.24107606709003448,0.8987159132957458,0.7557559609413147
28,0.3648824393749237,0.9465135335922241,0.4922465682029724,0.001,0.26833873987197876,0.9034746885299683,0.7359790205955505
