epoch,auc_pr,auc_roc,loss,lr,val_auc_pr,val_auc_roc,val_loss
0,0.1893029808998108,0.8016120195388794,0.9994750022888184,0.001,0.16514979302883148,0.797432541847229,1.0356477499008179
1,0.22926011681556702,0.8600212335586548,0.8242754340171814,0.001,0.10152509808540344,0.6719744205474854,2.178946018218994
2,0.24409092962741852,0.8717289566993713,0.7874158024787903,0.001,0.11736512184143066,0.7347963452339172,2.4699246883392334
3,0.27253615856170654,0.8835472464561462,0.74747633934021,0.001,0.13030016422271729,0.7596633434295654,2.267995834350586
4,0.28293946385383606,0.8879219889640808,0.7337400913238525,0.001,0.1542995721101761,0.8108173608779907,1.7288955450057983
5,0.30402281880378723,0.8964850902557373,0.702954113483429,0.001,0.16397200524806976,0.8177907466888428,1.5030932426452637
6,0.332790344953537,0.9051985740661621,0.6720441579818726,0.001,0.2035122811794281,0.8367210030555725,1.2045776844024658
7,0.33246853947639465,0.9069215059280396,0.6632810235023499,0.001,0.18101182579994202,0.8208202719688416,1.216414213180542
8,0.3738778233528137,0.9141223430633545,0.6436086893081665,0.001,0.2340570092201233,0.848569393157959,0.9550358057022095
9,0.36177903413772583,0.9144073128700256,0.6390772461891174,0.001,0.2094968557357788,0.8336743712425232,0.9274137616157532
10,0.39779144525527954,0.9224607944488525,0.6080643534660339,0.001,0.24082718789577484,0.8488017916679382,0.9412822723388672
11,0.39028918743133545,0.9244086146354675,0.5939323306083679,0.001,0.23944982886314392,0.8532685041427612,0.8814424872398376
12,0.4035336375236511,0.9265057444572449,0.5930253863334656,0.001,0.18816785514354706,0.8405370116233826,0.9090260863304138
13,0.427535742521286,0.9291350841522217,0.5823269486427307,0.001,0.18235276639461517,0.8382287621498108,0.9095301628112793
14,0.41831082105636597,0.9269182085990906,0.5927019715309143,0.001,0.16115424036979675,0.8248358368873596,0.9579644203186035
15,0.4344041347503662,0.9324721097946167,0.5709065794944763,0.001,0.2103343904018402,0.8476513028144836,0.8770182132720947
16,0.46528565883636475,0.9385419487953186,0.5411314964294434,0.001,0.13946135342121124,0.8175760507583618,1.0187115669250488
17,0.45466554164886475,0.9378232359886169,0.5380388498306274,0.001,0.13487592339515686,0.8110089302062988,1.015288233757019
18,0.475892573595047,0.9395291805267334,0.5395901799201965,0.001,0.18409734964370728,0.8405449390411377,0.956790030002594
19,0.45928168296813965,0.9389045834541321,0.5348671674728394,0.001,0.1701614260673523,0.8340150713920593,0.9159408211708069
20,0.4799070656299591,0.9435049891471863,0.5127981305122375,0.001,0.23337486386299133,0.8638538122177124,0.8401021361351013
21,0.48367226123809814,0.9427784085273743,0.5269423723220825,0.001,0.19878175854682922,0.8560816645622253,0.8921418190002441
22,0.49266064167022705,0.9445465207099915,0.5156046748161316,0.001,0.2371595799922943,0.8682084083557129,0.8259075880050659
23,0.4762156009674072,0.9430658221244812,0.5176310539245605,0.001,0.2513313591480255,0.8761070966720581,0.7986547946929932
24,0.4988670349121094,0.949141263961792,0.4863024055957794,0.001,0.30104291439056396,0.8912704586982727,0.7576956748962402
25,0.48674261569976807,0.9468982219696045,0.49436935782432556,0.001,0.252501904964447,0.8745234608650208,0.7742939591407776
26,0.5100854635238647,0.9501134753227234,0.48241284489631653,0.001,0.2540625333786011,0.8789137601852417,0.7720245718955994
27,0.5299516916275024,0.952975869178772,0.4729057252407074,0.001,0.3370411694049835,0.8973209261894226,0.7654258608818054
28,0.5318132042884827,0.95314621925354,0.47054073214530945,0.001,0.32515230774879456,0.8971244096755981,0.7254617214202881
29,0.5419337749481201,0.9563050866127014,0.4479139447212219,0.001,0.3881351947784424,0.9106156229972839,0.7020305395126343
30,0.5410977602005005,0.95607590675354,0.4493366777896881,0.001,0.37609392404556274,0.9070631861686707,0.7442925572395325
31,0.5544369220733643,0.9577114582061768,0.4446395933628082,0.001,0.37500736117362976,0.9043591022491455,0.7289387583732605
32,0.5609317421913147,0.9580523371696472,0.44109246134757996,0.001,0.3778418302536011,0.9068701863288879,0.7278077602386475
33,0.5696897506713867,0.9599383473396301,0.4280950725078583,0.001,0.3816996216773987,0.9099658131599426,0.7087947726249695
34,0.5683823823928833,0.9605967402458191,0.4252225160598755,0.001,0.4228038191795349,0.9134171009063721,0.7278788089752197
35,0.5615333318710327,0.9583243131637573,0.4380999505519867,0.001,0.42051032185554504,0.914204478263855,0.7061511874198914
36,0.5592852830886841,0.9595394730567932,0.42640620470046997,0.001,0.4410431981086731,0.9171171188354492,0.699722170829773
37,0.5853577256202698,0.9639665484428406,0.40009772777557373,0.001,0.44107240438461304,0.9137173891067505,0.7308236956596375
38,0.5957925915718079,0.964957594871521,0.39651942253112793,0.001,0.4017731547355652,0.9104816317558289,0.832018256187439
39,0.5850744247436523,0.9639990329742432,0.40081048011779785,0.001,0.4413008689880371,0.9154884219169617,0.7708299160003662
40,0.6014352440834045,0.966148853302002,0.38848090171813965,0.001,0.4152030944824219,0.9123108386993408,0.7579569816589355
41,0.5997231006622314,0.9648549556732178,0.39732205867767334,0.001,0.41682225465774536,0.9099255800247192,0.7579059600830078
42,0.591901957988739,0.9640634059906006,0.399478018283844,0.001,0.39961230754852295,0.9168257713317871,0.7287745475769043
43,0.5918156504631042,0.9648054838180542,0.39405357837677,0.001,0.3980478346347809,0.9116610884666443,0.7246801257133484
44,0.603432297706604,0.9665846824645996,0.3822217583656311,0.001,0.4313734173774719,0.916427731513977,0.730149507522583
45,0.6246760487556458,0.96861732006073,0.3718429505825043,0.001,0.4376066327095032,0.9207663536071777,0.7124148011207581
46,0.6360049843788147,0.9692405462265015,0.37080585956573486,0.001,0.4016393721103668,0.9047772884368896,0.9004388451576233
47,0.6468864679336548,0.9716590046882629,0.35305529832839966,0.001,0.43425121903419495,0.9149072170257568,0.7778334021568298
48,0.6469569206237793,0.9725629091262817,0.34030523896217346,0.001,0.43507999181747437,0.9164404273033142,0.8326086401939392
49,0.6462689638137817,0.9722757339477539,0.34591326117515564,0.001,0.43254655599594116,0.9130080342292786,0.7905106544494629
50,0.652530312538147,0.9728840589523315,0.3397561311721802,0.001,0.40124014019966125,0.9115064740180969,0.7987974882125854
51,0.6544520854949951,0.9722406268119812,0.3474527597427368,0.001,0.4265895485877991,0.9059712290763855,0.9916293025016785
52,0.6458712220191956,0.9730666279792786,0.33523911237716675,0.001,0.4362068176269531,0.9140304923057556,0.8181293606758118
53,0.6614640951156616,0.973219096660614,0.33974412083625793,0.001,0.40309208631515503,0.9108254313468933,0.8258585333824158
54,0.6258004903793335,0.9700319170951843,0.3561210036277771,0.001,0.40664055943489075,0.909615159034729,0.8466604948043823
55,0.6305304169654846,0.9707890152931213,0.35353565216064453,0.001,0.44217124581336975,0.9151158332824707,0.8231339454650879
56,0.6590796709060669,0.9737375974655151,0.33432674407958984,0.001,0.4399404227733612,0.9169102311134338,0.7927406430244446
57,0.677476704120636,0.9759501814842224,0.3169420063495636,0.001,0.4345554709434509,0.9107051491737366,0.9020664691925049
58,0.6762397289276123,0.9756098985671997,0.3210749924182892,0.001,0.4401583671569824,0.9137771725654602,0.8383845686912537
59,0.6855788230895996,0.976604163646698,0.31352531909942627,0.001,0.3879074156284332,0.9101840853691101,0.7751290202140808
60,0.6668108701705933,0.9747122526168823,0.32833170890808105,0.001,0.3945219814777374,0.9053100943565369,0.8417841792106628
61,0.6824122667312622,0.976080060005188,0.3188372850418091,0.001,0.43144741654396057,0.9101186394691467,0.868274450302124
62,0.6811776757240295,0.9759104251861572,0.320724755525589,0.001,0.4415479898452759,0.9153876304626465,0.8199189901351929
63,0.6831337213516235,0.9755738973617554,0.3231581449508667,0.001,0.42175111174583435,0.9059657454490662,0.9175031781196594
64,0.6839613318443298,0.9760737419128418,0.31775927543640137,0.001,0.4496028423309326,0.9166597723960876,0.7833439707756042
65,0.6962547302246094,0.9777825474739075,0.30384692549705505,0.001,0.43578770756721497,0.9164217114448547,0.8027147054672241
66,0.6896805763244629,0.9775561094284058,0.3050546646118164,0.001,0.4245246648788452,0.9126929640769958,0.863418698310852
67,0.6858352422714233,0.9774964451789856,0.3028860092163086,0.001,0.3734605312347412,0.9030061960220337,1.0057663917541504
68,0.6875420212745667,0.9770033955574036,0.30937713384628296,0.001,0.42750170826911926,0.9072242975234985,1.0042866468429565
69,0.6978087425231934,0.9780136942863464,0.29976457357406616,0.001,0.42285293340682983,0.9052309989929199,1.067566156387329
70,0.7092662453651428,0.9791445732116699,0.29279831051826477,0.001,0.4403876066207886,0.9151729345321655,0.8689649701118469
71,0.7079896926879883,0.9792376756668091,0.29287445545196533,0.001,0.4071430563926697,0.9010018706321716,1.0339314937591553
72,0.7039636373519897,0.9787322282791138,0.2971780002117157,0.001,0.4291972219944,0.9125419855117798,0.899472177028656
73,0.7120859026908875,0.9799198508262634,0.2825377285480499,0.001,0.4307529628276825,0.9151670932769775,0.8809269070625305
74,0.7197577953338623,0.9801427721977234,0.28526565432548523,0.001,0.4186766743659973,0.9117599725723267,0.8711171746253967
75,0.7213414907455444,0.9802790284156799,0.28556162118911743,0.001,0.40662866830825806,0.9124152064323425,0.8177042603492737
76,0.7143512964248657,0.9795354604721069,0.28978440165519714,0.001,0.4444611072540283,0.9140233397483826,0.8843193650245667
77,0.7339172959327698,0.9813317656517029,0.27830082178115845,0.001,0.4267728328704834,0.9037318229675293,1.0401949882507324
78,0.723304271697998,0.9808905720710754,0.2772734463214874,0.001,0.4407752752304077,0.9115162491798401,0.9749985933303833
79,0.7314141988754272,0.9813988208770752,0.27367597818374634,0.001,0.43032729625701904,0.918678343296051,0.8300950527191162
80,0.7394911050796509,0.9821895956993103,0.26669541001319885,0.001,0.42672014236450195,0.9138079881668091,0.9711100459098816
81,0.7313973903656006,0.9816631078720093,0.2708815336227417,0.001,0.43448156118392944,0.9170248508453369,0.897601842880249
82,0.7388293743133545,0.9821985960006714,0.26570194959640503,0.001,0.44450870156288147,0.9127897620201111,0.9736170172691345
83,0.7366153001785278,0.982336699962616,0.2644842565059662,0.001,0.4174514412879944,0.9111180305480957,1.0251281261444092
84,0.7496917247772217,0.9829918146133423,0.2628050148487091,0.001,0.40997064113616943,0.9070625305175781,1.075523853302002
85,0.7440125346183777,0.9824317693710327,0.2667515277862549,0.001,0.4121544063091278,0.9107502102851868,0.9424688220024109
86,0.7451846599578857,0.9829819202423096,0.2583951950073242,0.001,0.4128338396549225,0.909605085849762,0.986990213394165
87,0.7385730743408203,0.9824548363685608,0.26266250014305115,0.001,0.4207715094089508,0.904292106628418,1.0577561855316162
88,0.7528868913650513,0.9834607839584351,0.2563747763633728,0.001,0.4415622651576996,0.912092924118042,0.9710866808891296
89,0.7557995915412903,0.9837847948074341,0.2533518075942993,0.001,0.4325026273727417,0.9058101773262024,1.08219575881958
90,0.7485626935958862,0.9829757809638977,0.2601889669895172,0.001,0.4367414712905884,0.9125201106071472,1.003985047340393
91,0.7598428130149841,0.9844282269477844,0.24450568854808807,0.001,0.45372241735458374,0.9070683717727661,0.9870889782905579
